date,mu,omega,alpha_1,beta_1,persistence,nu,sigma_next,converged
2006-09-06,0.00038427770846967093,0.00417091963539398,0.009691474701880434,0.9807261546338445,0.990417629335725,112.47294341645166,0.006703281259052976,True
2006-09-07,0.0003499422137344014,0.0038099207917372197,0.0,0.990971595378996,0.990971595378996,112.49025065751057,0.006498973665818999,True
2006-09-08,0.0003430995213495099,0.00398960448616099,1.8428906333289974e-10,0.9905861790399999,0.9905861792242889,112.4926018223568,0.0065120805818361,True
2006-09-11,0.0003494506114881075,0.004192507020583407,2.930784306565438e-14,0.9901462869905625,0.9901462869905918,112.48487799737842,0.0065242594113839565,True
2006-09-12,0.0003520800361110044,0.0040885442382259385,0.0,0.9903508169453178,0.9903508169453178,112.48189176365726,0.006511041185093092,True
2006-09-13,0.0003660824923237226,0.00432557425326656,2.587489710318897e-10,0.9898721008385074,0.9898721010972564,112.48111006348648,0.0065363480070623516,True
2006-09-14,0.00037159466390554485,0.004539488926946595,8.58067217602284e-11,0.9894110215119402,0.9894110215977469,112.46074554337946,0.006548250041516554,True
2006-09-15,0.0003720513554779945,0.0045793236726504195,0.0,0.9893118740474336,0.9893118740474336,112.45854002965858,0.006546277100795357,True
2006-09-18,0.0003762380061696506,0.004788557162949484,0.0,0.9888570118415471,0.9888570118415471,112.45568775639285,0.006555885662543928,True
2006-09-19,0.00038080762790292913,0.004599281183878627,7.039151143737973e-15,0.9892396603434473,0.9892396603434543,112.3164424100962,0.006538425468991788,True
2006-09-20,0.00037761373342557207,0.004821228515461434,0.0,0.9887586032510131,0.9887586032510131,112.2880090135471,0.006549312592518469,True
2006-09-21,0.00038862783784525797,0.004971549108427118,8.523738104269658e-11,0.988433960245882,0.9884339603311194,112.19248160462487,0.006556525207970228,True
2006-09-22,0.0003806226864861166,0.005076503890747135,3.8984407029630034e-10,0.9882108600008563,0.9882108603907004,111.01501253332808,0.00656232578198594,True
2006-09-25,0.0003752558289840131,0.0050794583258446805,3.7773527406724857e-10,0.9881904391031386,0.9881904394808739,110.88983080152816,0.006558550553381834,True
2006-09-26,0.0003841147189519882,0.005204486437744312,2.3255721626802504e-10,0.987941230539118,0.9879412307716752,110.88821663844067,0.006569770062182472,True
2006-09-27,0.0003961184199103308,0.004974057030701708,8.450982301246145e-10,0.9884290122566486,0.9884290131017468,110.88493979094821,0.006556761417170811,True
2006-09-28,0.00039765138619669675,0.005099355170700787,6.070752155115355e-15,0.9881476405342603,0.9881476405342664,110.87962750342331,0.006559491211006775,True
2006-09-29,0.00039295621063564155,0.004623201505442323,0.0,0.9891381069602022,0.9891381069602022,110.87809370629044,0.006524595147772385,True
2006-10-02,0.0003923447370270025,0.004581726014343494,7.772008973416502e-15,0.9892128744243376,0.9892128744243454,110.87809255649779,0.006517764619451218,True
2006-10-03,0.00038953521950540576,0.004740275046988729,4.4537055220942124e-10,0.9888636696500848,0.9888636700954553,110.86908641772042,0.0065246595833598495,True
2006-10-04,0.00039458983243046856,0.004713052106603921,2.976044934638446e-10,0.9889083867209727,0.9889083870185772,110.80201216023268,0.0065190121572875,True
2006-10-05,0.00041525039610511814,0.004759931917383907,6.401757419311196e-10,0.9888365685642598,0.9888365692044355,29.045190639643486,0.0065302190386097,True
2006-10-06,0.00041583525437448895,0.004875777982809146,0.0,0.9885754626034693,0.9885754626034693,28.412379785617087,0.006533161286968484,True
2006-10-09,0.00041605509800401503,0.004719821933833299,3.11516763462506e-10,0.9888936153698257,0.9888936156813425,26.91172165447184,0.006519340722822256,True
2006-10-10,0.0004118117692048989,0.004358849063670892,2.6253792471546157e-10,0.9896480329645727,0.9896480332271106,25.078704825835572,0.00648972792994291,True
2006-10-11,0.00040817111889071084,0.00373801748142939,5.918310654204407e-16,0.9909695613467258,0.9909695613467263,22.84904275725033,0.006436166099984743,True
2006-10-12,0.00040280731530836154,0.003919737039751864,6.703572465886521e-10,0.9905635967584917,0.9905635974288489,23.357248070247717,0.00644671207719154,True
2006-10-13,0.00046035677094982875,0.005082305851097456,0.02727399473895959,0.9619981155850056,0.9892721103239652,29.431551970732812,0.005919934026350665,True
2006-10-16,0.00047452803605027826,0.005188381101753695,0.03010252602640909,0.9591759649725968,0.9892784909990059,28.06167290405531,0.005792029256243779,True
2006-10-17,0.0004776195888476851,0.005270302448642494,0.03218858341764724,0.9570966429688085,0.9892852263864558,26.654465536303018,0.005684490298831755,True
2006-10-18,0.0004688799721768608,0.005249428925119502,0.03144942712349582,0.9577527303870337,0.9892021575105295,26.65468411638295,0.005666163489862818,True
2006-10-19,0.00046733648152082175,0.005281917346938015,0.03270158922876468,0.956480350040963,0.9891819392697276,26.65467822531515,0.005558966082185215,True
2006-10-20,0.0004738651883074855,0.005275927486556433,0.03283283062107325,0.9563016925287673,0.9891345231498405,25.268273248593733,0.005475355005790469,True
2006-10-23,0.0004743343928240743,0.005273061292984616,0.032695494055019224,0.9563264126059429,0.9890219066609621,25.26885839973071,0.005398864883102819,True
2006-10-24,0.0004887240584765335,0.005308429017274338,0.03291817892952045,0.9560632995768018,0.9889814785063222,25.268699978075535,0.005418744459467966,True
2006-10-25,0.000488092739357678,0.005304089704331033,0.03394332560199683,0.9550862921772341,0.9890296177792309,23.955635116016655,0.0053168341301711415,True
2006-10-26,0.0004971570480583747,0.005307346003641523,0.03384473088273783,0.9550893671973214,0.9889340980800593,23.956785031452807,0.005271119878688648,True
2006-10-27,0.0005078857546473674,0.005336875735293835,0.03360096187536144,0.9551945938159984,0.9887955556913598,24.656809997686903,0.005266631470380034,True
2006-10-30,0.00048524685639810407,0.005386309437645328,0.03180687152968248,0.9568158746411906,0.988622746170873,25.533903250496053,0.005461233894429305,True
2006-10-31,0.0004826305378515503,0.005382175973217875,0.03199140976379972,0.9565708441309901,0.9885622538947899,25.533490829324254,0.005382870953857066,True
2006-11-01,0.0004809374730790943,0.005392968010067784,0.031950800751714796,0.9564805741014334,0.9884313748531481,25.533490486544668,0.005311161189730644,True
2006-11-02,0.00046343168902886786,0.0054656513600611105,0.030636944084358055,0.9575760976303386,0.9882130417146966,26.792135353382353,0.0054419973463528705,True
2006-11-03,0.00046032397467408575,0.005487725449659773,0.030682880555856204,0.9573928626863701,0.9880757432422264,26.79213548661217,0.005373106954693358,True
2006-11-06,0.00046348363593319233,0.005411695393139385,0.03231981898278591,0.9560461430798486,0.9883659620626345,24.950304542394967,0.00527846466256074,True
2006-11-07,0.00047917711231360233,0.005575710889434451,0.03023115124770677,0.9577878754729736,0.9880190267206804,26.02429393367233,0.005582035271939142,True
2006-11-08,0.0004899712095183521,0.005538907350906281,0.031373439533519315,0.9568052754252898,0.9881787149588092,24.383448239788596,0.005500768993399773,True
2006-11-09,0.0004918150297816428,0.005529439118992735,0.031095197175479563,0.9569849076902573,0.9880801048657369,24.384514534611412,0.005437435438283367,True
2006-11-10,0.000480750905444775,0.005600008662707026,0.030311307022878275,0.9575091443091744,0.9878204513320528,26.205943667398127,0.005473432481961433,True
2006-11-13,0.0004799911360350054,0.00551141809582803,0.031899757894008715,0.9562385636898701,0.9881383215838788,23.898854552652626,0.005373328609337172,True
2006-11-14,0.0004840099049015087,0.005519121626886178,0.031610149390769636,0.956389568679541,0.9879997180703106,24.44408980458355,0.005323087963584194,True
2006-11-15,0.0004958830162727759,0.005592543820812002,0.03123739586157217,0.9565652229550596,0.9878026188166318,25.20635602475049,0.005365756078904295,True
2006-11-16,0.0005014737110556896,0.005625188233043685,0.031016581865316608,0.9565973386597105,0.9876139205250272,25.854815329450112,0.005313659504910093,True
2006-11-17,0.0005043894947141314,0.005653771865388809,0.031023557441784658,0.956431215507425,0.9874547729492097,25.85530042560879,0.0052513790580942625,True
2006-11-20,0.0005032603640804945,0.005445657737604515,0.03450507864202688,0.9537305316031993,0.9882356102452262,23.99073903599044,0.005103339133951389,True
